id,title,genre,releaseYear
82,Star Wars: Episode VI - Return of the Jedi,Action,1983
83,Your Name.,Animation,2016
84,Singin' in the Rain,Comedy,1952
85,Reservoir Dogs,Crime,1992
86,3 Idiots,Comedy,2009
87,The Hunt,Drama,2012
88,Citizen Kane,Drama,1941
89,Lawrence of Arabia,Adventure,1962
90,Toy Story 3,Animation,2010
91,Requiem for a Heavyweight,Drama,1962
92,Vertigo,Mystery,1958
93,Eternal Sunshine of the Spotless Mind,Drama,2004
94,Amelie,Comedy,2001
95,A Clockwork Orange,Crime,1971
96,Full Metal Jacket,War,1987
97,Double Indemnity,Crime,1944
98,Scarface,Crime,1983
99,Taxi Driver,Crime,1976
100,To Kill a Mockingbird,Drama,1962
101,The Sting,Comedy,1973
102,L.A. Confidential,Crime,1997
103,Heat,Crime,1995
104,Metropolis,Sci-Fi,1927
105,North by Northwest,Mystery,1959
106,Snatch,Comedy,2000
107,Indiana Jones and the Last Crusade,Adventure,1989
108,A Separation,Drama,2011
109,Die Hard,Action,1988
110,Arrival,Sci-Fi,2016
111,Incendies,Drama,2010
112,Shutter Island,Mystery,2010
113,Downfall,Biography,2004
114,The Truman Show,Comedy,1998
115,The Sixth Sense,Mystery,1999
116,The Thing,Horror,1982
117,Jurassic Park,Adventure,1993
118,The Big Lebowski,Comedy,1998
119,Blade Runner,Sci-Fi,1982
120,The Deer Hunter,Drama,1978
121,Cool Hand Luke,Drama,1967
122,The Third Man,Mystery,1949
123,Fargo,Crime,1996
124,Logan,Action,2017
125,Gran Torino,Drama,2008
126,The Elephant Man,Biography,1980
127,The Grand Budapest Hotel,Comedy,2014
128,Gone with the Wind,Drama,1939
129,The Kid,Comedy,1921
130,The Wolf of Wall Street,Biography,2013
131,The Gold Rush,Comedy,1925
132,On the Waterfront,Drama,1954
133,V for Vendetta,Action,2005
134,Gone Girl,Mystery,2014
135,Inside Out,Animation,2015
136,Lock Stock and Two Smoking Barrels,Comedy,1998
137,The General,Action,1926
138,The Great Escape,Adventure,1963
139,Sherlock Jr.,Comedy,1924
140,Howl's Moving Castle,Animation,2004
141,Catch Me If You Can,Biography,2002
142,How to Train Your Dragon,Animation,2010
143,Blade Runner 2049,Sci-Fi,2017
144,No Country for Old Men,Crime,2007
145,About Time,Romance,2013
146,The Secret in Their Eyes,Mystery,2009
147,Prisoners,Mystery,2013
148,Train to Busan,Horror,2016
149,Warrior,Action,2011
150,Into the Wild,Adventure,2007
151,Platoon,War,1986
152,The Terminator,Action,1984
153,Rush,Biography,2013
154,Stand by Me,Drama,1986
155,Mad Max: Fury Road,Action,2015
156,Network,Drama,1976
157,The Exorcist,Horror,1973
158,Spotlight,Biography,2015
159,Hotel Rwanda,Biography,2004
160,The Wailing,Mystery,2016
161,Logan,Action,2017
162,Hacksaw Ridge,Biography,2016
163,The Truman Show,Drama,1998
164,Ben-Hur,Adventure,1959
165,1917,War,2019
166,Before Sunrise,Romance,1995
167,Before Sunset,Romance,2004
168,The Incredibles,Animation,2004
169,Monsters Inc.,Animation,2001
170,The Sixth Sense,Thriller,1999
171,Life of Pi,Adventure,2012
172,A Beautiful Mind,Biography,2001
173,The Martian,Sci-Fi,2015
174,Gravity,Sci-Fi,2013
175,The Revenant,Adventure,2015
176,The Social Network,Biography,2010
177,Avatar,Sci-Fi,2009
178,The Avengers,Action,2012
179,La La Land,Romance,2016
180,Dunkirk,War,2017
181,The Irishman,Biography,2019
182,Knives Out,Mystery,2019
183,Tenet,Sci-Fi,2020
184,Dune,Sci-Fi,2021
185,Top Gun: Maverick,Action,2022
186,Oppenheimer,Biography,2023
187,Everything Everywhere All at Once,Action,2022
188,Spider-Man: Across the Spider-Verse,Animation,2023
189,The Batman,Action,2022
190,Glass Onion,Mystery,2022
191,Bohemian Rhapsody,Biography,2018
192,Green Book,Biography,2018
193,The King's Speech,Biography,2010
194,Slumdog Millionaire,Drama,2008
195,No Time to Die,Action,2021
196,Black Panther,Action,2018
197,Thor: Ragnarok,Action,2017
198,Guardians of the Galaxy,Action,2014
199,Iron Man,Action,2008
200,Zootopia,Animation,2016
